Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,P_rx (dBm),Comments
G-43,14.1942321,3,0,0,0,0,-79,
H-43,14.3692806,2,0,0,0,0,-77,
A-44,15.57164811,4,0,0,0,0,-100,
C-44,15.18144344,4,0,0,0,0,-97,
D-44,15.08231497,4,0,0,0,0,-91,
E-44,15.04912705,4,0,0,0,0,-92,
F-44,15.08231497,4,0,0,0,0,-74,
G-44,15.18144344,3,0,0,0,0,-76,
H-44,15.3452346,2,0,0,0,0,-77,
I-44,15.57164811,4,0,0,0,0,-84,
J-44,15.85800192,4,0,0,0,0,-95,
K-44,16.20111802,5,0,0,0,0,-100,
L-44,16.59747646,5,0,0,0,0,-92,
A-45,16.53711659,5,0,0,0,0,-94,
B-45,16.32409952,5,0,0,0,0,-102,
C-45,16.1702265,5,0,0,0,0,-98,
D-45,16.07719581,5,0,0,0,0,-94,
E-45,16.04606572,5,0,0,0,0,-91,
F-45,16.07719581,4,0,0,0,0,-83,
G-45,16.1702265,3,0,0,0,0,-83,
H-45,16.32409952,2,0,0,0,0,-76,
J-45,16.80702904,5,0,0,0,0,-88,
K-45,17.1311478,5,0,0,0,0,-103,
L-45,17.50646238,5,0,0,0,0,-109,
A-46,17.50646238,5,0,0,0,0,-97,
B-46,17.30538139,5,0,0,0,0,-99,
C-46,17.16030958,5,0,0,0,0,-97,
D-46,17.07267481,5,0,0,0,0,-95,
E-46,17.04336308,5,0,0,0,0,-93,
F-46,17.07267481,4,0,0,0,0,-88,
G-46,17.16030958,3,0,0,0,0,-86,
H-46,17.30538139,1,0,0,0,0,-94,
J-46,17.7616504,5,0,0,0,0,-105,
K-46,18.0686531,4,1,0,0,0,-105,
L-46,18.4248806,5,0,0,0,0,-100,
B-47,18.28869118,5,0,0,0,0,-98,
C-47,18.15147997,5,0,0,0,0,-92,
D-47,18.0686531,5,0,0,0,0,-100,
E-47,18.04095965,5,0,0,0,0,-103,
F-47,18.0686531,4,0,0,0,0,-78,
G-47,18.15147997,3,0,0,0,0,-76,
H-47,18.28869118,1,0,0,0,0,-85,
J-47,18.72101026,5,0,0,0,0,-103,
K-47,19.01252811,5,0,0,0,0,-105,
L-47,19.35138819,5,0,0,0,0,-105,
A-48,19.45446543,5,0,0,0,0,-102,
B-48,19.2737185,5,0,0,0,0,-104,
C-48,19.14356876,5,0,0,0,0,-99,
D-48,19.06505245,5,0,0,0,0,-95,
E-48,19.03880839,5,0,0,0,0,-91,
F-48,19.06505245,4,0,0,0,0,-86,
G-48,19.14356876,3,0,0,0,0,-80,
H-48,19.2737185,2,0,0,0,0,-83,
J-48,19.68441579,5,0,0,0,0,-105,
K-48,19.96186928,5,0,0,0,0,-108,
L-48,20.28487676,5,0,0,0,0,-109,
A-49,20.43223495,5,0,0,0,0,-103,
B-49,20.26021286,5,0,0,0,0,-98,
C-49,20.13644023,5,0,0,0,0,-96,
D-49,20.06181011,5,0,0,0,0,-92,
E-49,20.03687164,5,0,0,0,0,-91,
F-49,20.06181011,4,0,0,0,0,-83,
G-49,20.13644023,3,0,0,0,0,-88,
