Coord.,Distance (m),Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,PL (dB),Comments
E-38,9,3,0,0,0,0,85,
F-38,9.055385138,3,0,0,0,0,81,
G-38,9.219544457,2,0,0,0,0,94,
H-38,9.486832981,2,0,0,0,0,82,
I-38,9.848857802,4,0,0,0,0,98,
J-38,10.29563014,4,0,0,0,0,90,
K-38,10.81665383,4,0,0,0,0,100,
L-38,11.40175425,3,2,0,0,0,97,
M-38,12.04159458,4,1,1,0,0,100,
N-38,12.72792206,4,1,1,0,0,103,
O-38,13.45362405,4,1,1,0,0,98,
P-38,14.2126704,4,1,1,0,0,97,
A-39,10.77032961,3,0,0,0,0,89,
B-39,10.44030651,3,0,0,0,0,81,
C-39,10.19803903,3,0,0,0,0,85,
D-39,10.04987562,3,0,0,0,0,100,
E-39,10,3,0,0,0,0,96,
F-39,10.04987562,3,0,0,0,0,89,
G-39,10.19803903,2,0,0,0,0,80,
H-39,10.44030651,2,0,0,0,0,88,
I-39,10.77032961,4,0,0,0,0,92,
J-39,11.18033989,4,0,0,0,0,96,
K-39,11.66190379,4,0,0,0,0,92,
L-39,12.20655562,3,2,0,0,0,103,
M-39,12.80624847,3,2,0,0,0,98,
N-39,13.45362405,4,1,1,0,0,98,
O-39,14.14213562,4,1,1,0,0,106,
P-39,14.86606875,4,1,1,0,0,97,
A-40,11.70469991,3,0,0,0,0,92,
B-40,11.40175425,3,0,0,0,0,89,
C-40,11.18033989,3,0,0,0,0,88,
D-40,11.04536102,3,0,0,0,0,87,
E-40,11,3,0,0,0,0,99,
F-40,11.04536102,3,0,0,0,0,91,
G-40,11.18033989,1,0,0,0,0,83,
H-40,11.40175425,2,0,0,0,0,87,
I-40,11.70469991,3,0,0,0,0,98,
J-40,12.08304597,4,0,0,0,0,91,
K-40,12.52996409,4,0,0,0,0,94,
L-40,13.03840481,2,2,0,0,0,94,
M-40,13.60147051,2,2,0,0,0,93,
N-40,14.2126704,4,1,1,0,0,97,
O-40,14.86606875,4,1,1,0,0,98,
A-41,12.64911064,4,0,0,0,0,97,
B-41,12.36931688,4,0,0,0,0,103,
C-41,12.16552506,4,0,0,0,0,96,
D-41,12.04159458,4,0,0,0,0,98,
E-41,12,4,0,0,0,0,97,
F-41,12.04159458,3,0,0,0,0,83,
G-41,12.16552506,3,0,0,0,0,90,
H-41,12.36931688,2,0,0,0,0,92,
I-41,12.64911064,3,0,0,0,0,99,
J-41,13,4,0,0,0,0,108,
K-41,13.41640786,4,0,0,0,0,94,
L-41,13.89244399,4,0,0,0,0,104,
M-41,14.4222051,3,2,0,0,0,95,
N-41,15,3,2,0,0,0,98,
O-41,15.62049935,4,1,1,0,0,97,
A-42,13.60147051,4,0,0,0,0,92,
B-42,13.34166406,4,0,0,0,0,98,
C-42,13.15294644,4,0,0,0,0,105,
D-42,13.03840481,4,0,0,0,0,98,
E-42,13,4,0,0,0,0,100,
F-42,13.03840481,4,0,0,0,0,95,
G-42,13.15294644,1,0,0,0,0,84,
H-42,13.34166406,1,0,0,0,0,87,
J-42,13.92838828,4,0,0,0,0,103,
K-42,14.31782106,4,0,0,0,0,92,
L-42,14.76482306,4,0,0,0,0,91,
M-42,15.26433752,4,0,0,0,0,100,
N-42,15.8113883,3,2,0,0,0,102,
O-42,16.40121947,3,2,0,0,0,94,
P-42,17.02938637,4,1,1,0,0,110,
A-43,14.56021978,4,0,0,0,0,98,
B-43,14.31782106,4,0,0,0,0,97,
C-43,14.14213562,4,0,0,0,0,95,
D-43,14.03566885,4,0,0,0,0,104,
E-43,14,4,0,0,0,0,94,
F-43,14.03566885,4,0,0,0,0,83,
G-43,14.14213562,3,0,0,0,0,85,
H-43,14.31782106,2,0,0,0,0,95,
K-43,15.23154621,4,0,0,0,0,110,
L-43,15.65247584,4,0,0,0,0,93,
M-43,16.1245155,4,0,0,0,0,90,
N-43,16.64331698,4,0,0,0,0,110,
O-43,17.20465053,3,2,0,0,0,109,
P-43,17.80449381,3,2,0,0,0,105,
A-44,15.5241747,4,0,0,0,0,94,
B-44,15.29705854,4,0,0,0,0,104,
C-44,15.13274595,4,0,0,0,0,94,
D-44,15.03329638,4,0,0,0,0,105,
E-44,15,4,0,0,0,0,103,
F-44,15.03329638,4,0,0,0,0,85,
G-44,15.13274595,3,0,0,0,0,87,
H-44,15.29705854,2,0,0,0,0,100,
I-44,15.5241747,4,0,0,0,0,97,
J-44,15.8113883,4,0,0,0,0,103,
K-44,16.15549442,5,0,0,0,0,97,
L-44,16.55294536,5,0,0,0,0,104,
A-45,16.4924225,5,0,0,0,0,105,
B-45,16.2788206,5,0,0,0,0,108,
C-45,16.1245155,5,0,0,0,0,112,
D-45,16.03121954,5,0,0,0,0,114,
E-45,16,5,0,0,0,0,105,
F-45,16.03121954,4,0,0,0,0,83,
G-45,16.1245155,3,0,0,0,0,90,
H-45,16.2788206,2,0,0,0,0,90,
I-45,16.4924225,5,0,0,0,0,104,
J-45,16.76305461,5,0,0,0,0,100,
K-45,17.08800749,5,0,0,0,0,105,
L-45,17.4642492,5,0,0,0,0,109,
A-46,17.4642492,5,0,0,0,0,99,
B-46,17.2626765,5,0,0,0,0,110,
C-46,17.11724277,5,0,0,0,0,110,
D-46,17.02938637,5,0,0,0,0,107,
E-46,17,5,0,0,0,0,95,
F-46,17.02938637,4,0,0,0,0,96,
G-46,17.11724277,3,0,0,0,0,92,
H-46,17.2626765,1,0,0,0,0,87,
J-46,17.72004515,5,0,0,0,0,105,
K-46,18.02775638,4,1,0,0,0,106,
L-46,18.38477631,5,0,0,0,0,108,
B-47,18.24828759,5,0,0,0,0,102,
C-47,18.11077028,5,0,0,0,0,105,
D-47,18.02775638,5,0,0,0,0,118,
E-47,18,5,0,0,0,0,114,
F-47,18.02775638,4,0,0,0,0,93,
G-47,18.11077028,3,0,0,0,0,86,
H-47,18.24828759,1,0,0,0,0,83,
J-47,18.68154169,5,0,0,0,0,100,
K-47,18.97366596,5,0,0,0,0,104,
L-47,19.31320792,5,0,0,0,0,104,
A-48,19.41648784,5,0,0,0,0,114,
B-48,19.23538406,5,0,0,0,0,110,
C-48,19.10497317,5,0,0,0,0,99,
D-48,19.02629759,5,0,0,0,0,111,
E-48,19,5,0,0,0,0,102,
F-48,19.02629759,4,0,0,0,0,87,
G-48,19.10497317,3,0,0,0,0,86,
H-48,19.23538406,2,0,0,0,0,86,
J-48,19.6468827,5,0,0,0,0,108,
K-48,19.92485885,5,0,0,0,0,109,
L-48,20.24845673,5,0,0,0,0,112,
A-49,20.39607805,5,0,0,0,0,109,
B-49,20.22374842,5,0,0,0,0,112,
C-49,20.09975124,5,0,0,0,0,106,
D-49,20.02498439,5,0,0,0,0,97,
E-49,20,5,0,0,0,0,105,
F-49,20.02498439,4,0,0,0,0,90,
G-49,20.09975124,3,0,0,0,0,95,
H-49,20.22374842,3,0,0,0,0,97,
I-49,20.39607805,3,0,0,0,0,109,
J-49,20.61552813,5,0,0,0,0,104,
K-49,20.88061302,5,0,0,0,0,110,
L-49,21.1896201,5,0,0,0,0,112,
A-50,21.37755833,5,0,0,0,0,100,
B-50,21.21320344,5,0,0,0,0,115,
C-50,21.09502311,5,0,0,0,0,104,
D-50,21.02379604,5,0,0,0,0,110,
E-50,21,5,0,0,0,0,101,
F-50,21.02379604,4,0,0,0,0,94,
