Coord.,Distance,Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,P_rx (dBm),Comments
H-36,7.615773106,2,0,0,0,0,-69,
I-36,8.062257748,3,0,0,0,0,-93,
J-36,8.602325267,2,0,0,0,0,-83,
K-36,9.219544457,3,1,1,0,0,-76,
L-36,9.899494937,3,1,1,0,0,-81,
M-36,10.63014581,3,1,1,0,0,-77,
N-36,11.40175425,3,1,1,0,0,-84,
O-36,12.20655562,1,2,1,0,0,-81,
P-36,13.03840481,,,,0,0,NP,
A-37,8.94427191,3,0,0,0,0,-79,
B-37,8.544003745,3,0,0,0,0,-76,
C-37,8.246211251,,,,0,0,NP,
D-37,8.062257748,3,0,0,0,0,-82,
E-37,8,3,0,0,0,0,-87,
F-37,8.062257748,3,0,0,0,0,-77,
G-37,8.246211251,2,0,0,0,0,-71,
H-37,8.544003745,2,0,0,0,0,-73,
I-37,8.94427191,,,,0,0,NP,
J-37,9.433981132,,,,0,0,NP,
K-37,10,2,0,0,0,0,-85,
L-37,10.63014581,3,1,1,0,0,-81,
M-37,11.3137085,3,1,1,0,0,-81,
N-37,12.04159458,3,1,1,0,0,-75,
O-37,12.80624847,3,1,1,0,0,-80,
P-37,13.60147051,2,1,1,0,0,-81,
A-38,9.848857802,3,0,0,0,0,-74,
B-38,9.486832981,3,0,0,0,0,-68,
C-38,9.219544457,3,0,0,0,0,-80,
D-38,9.055385138,3,0,0,0,0,-82,
E-38,9,3,0,0,0,0,-75,
F-38,9.055385138,3,0,0,0,0,-71,
G-38,9.219544457,2,0,0,0,0,-84,
H-38,9.486832981,2,0,0,0,0,-72,
I-38,9.848857802,4,0,0,0,0,-88,
