Coord.,Distance,Num_brick_wall,Num_wood_wall,Num_glass_wall,Num_drywall,Num_column,P_rx (dBm),Comments
P-18,3.8325,0,0,0,0,0,-54,
Q-18,4.8855,0,0,0,1,0,-56,
R-18,6.0597,0,0,0,1,0,-59,
S-18,7.2969,0,0,0,1,0,-56,
T-18,8.5698,0,1,0,1,0,-66,
U-18,9.8645,0,0,0,4,0,-76,
V-18,11.1736,0,0,0,4,0,-67,
W-18,12.4925,0,0,0,4,0,-69,
X-18,13.8183,0,0,0,4,0,-59,
Y-18,15.1494,0,0,0,4,0,-64,
A-19,18.078,,,,,,NP,
B-19,16.7604,,,,,,NP,
C-19,15.4494,,,,,,NP,
D-19,14.1466,,,,,,NP,
E-19,12.8547,,,,,,NP,
F-19,11.5771,,,,,,NP,
G-19,10.3194,,,,,,NP,
H-19,9.0896,,,,,,NP,
I-19,7.9009,,,,,,NP,
J-19,6.775,,,,,,NP,
K-19,5.7488,,,,,,NP,
L-19,4.8855,,,,,,NP,
M-19,4.2849,0,0,0,1,0,-66,
N-19,4.065,0,0,0,1,0,-50,
O-19,4.2849,0,0,0,0,0,-45,
P-19,4.8855,0,0,0,0,0,-58,
Q-19,5.7488,0,0,0,2,0,-69,
R-19,6.775,0,0,0,2,0,-65,
S-19,7.9009,0,0,0,2,0,-61,
T-19,9.0896,0,0,0,2,0,-63,
U-19,10.3194,0,0,0,2,0,-64,
V-19,11.5771,0,1,0,1,0,-61,
W-19,12.8547,0,1,0,1,0,-63,
X-19,14.1466,0,1,0,2,0,-70,
Y-19,15.4494,0,1,0,2,0,-64,
A-20,18.43,,,,,,NP,
B-20,17.1395,,,,,,NP,
C-20,15.8599,,,,,,NP,
D-20,14.5938,,,,,,NP,
E-20,13.3452,,,,,,NP,
F-20,12.1195,,,,,,NP,
G-20,10.9244,,,,,,NP,
H-20,9.771,,,,,,NP,
I-20,8.6762,,,,,,NP,
J-20,7.665,,,,,,NP,
K-20,6.775,,,,,,NP,
L-20,6.0597,,,,,,NP,
M-20,5.5868,,,,,,NP,
N-20,5.42,0,0,0,1,0,-58,
O-20,5.5868,0,0,0,1,0,-55,
P-20,6.0597,,,,,,NP,
Q-20,6.775,0,0,1,0,0,-56,
R-20,7.665,0,0,1,1,0,-66,
S-20,8.6762,0,0,0,3,0,-60,
T-20,9.771,0,0,0,2,0,-72,
U-20,10.9244,0,0,0,3,0,-65,
V-20,12.1195,0,0,0,3,0,-63,
W-20,13.3452,0,0,0,2,0,-62,
X-20,14.5938,0,0,0,2,0,-68,
Y-20,15.8599,,,,,,NP,
A-21,18.873,,,,,,NP,
B-21,17.615,,,,,,NP,
C-21,16.3725,,,,,,NP,
D-21,15.1494,,,,,,NP,
E-21,13.9506,,,,,,NP,
F-21,12.783,,,,,,NP,
G-21,11.6562,,,,,,NP,
H-21,10.5829,,,,,,NP,
I-21,9.5813,,,,,,NP,
J-21,8.6762,,,,,,NP,
K-21,7.9009,,,,,,NP,
L-21,7.2969,,,,,,NP,
M-21,6.9092,,,,,,NP,
N-21,6.775,0,0,0,1,0,-60,
O-21,6.9092,0,0,0,1,0,-55,
P-21,7.2969,0,0,0,3,0,-62,
Q-21,7.9009,0,0,0,1,1,-70,
R-21,8.6762,0,0,1,0,0,-68,
S-21,9.5813,0,0,1,0,0,-59,
T-21,10.5829,,,,,,NP,
U-21,11.6562,,,,,,NP,
V-21,12.783,0,0,0,3,0,-69,
W-21,13.9506,,,,,,NP,
X-21,15.1494,,,,,,NP,
Y-21,16.3725,,,,,,NP,
A-22,19.4006,,,,,,NP,
B-22,18.1792,,,,,,NP,
C-22,16.9781,,,,,,NP,
D-22,15.8019,,,,,,NP,
E-22,14.6566,,,,,,NP,
F-22,13.55,,,,,,NP,
