PL,P_ladrillo,P_madera,P_vidrio,P_Tablaroca,Columna,Distancia,h_Rx,h_Tx
91,4,0,0,0,0,14.76482306,1.5,1.5
100,4,0,0,0,0,15.26433752,1.5,1.5
102,3,2,0,0,0,15.8113883,1.5,1.5
94,3,2,0,0,0,16.40121947,1.5,1.5
110,4,1,1,0,0,17.02938637,1.5,1.5
98,4,0,0,0,0,14.56021978,1.5,1.5
97,4,0,0,0,0,14.31782106,1.5,1.5
95,4,0,0,0,0,14.14213562,1.5,1.5
104,4,0,0,0,0,14.03566885,1.5,1.5
94,4,0,0,0,0,14,1.5,1.5
83,4,0,0,0,0,14.03566885,1.5,1.5
85,3,0,0,0,0,14.14213562,1.5,1.5
95,2,0,0,0,0,14.31782106,1.5,1.5
110,4,0,0,0,0,15.23154621,1.5,1.5
93,4,0,0,0,0,15.65247584,1.5,1.5
90,4,0,0,0,0,16.1245155,1.5,1.5
110,4,0,0,0,0,16.64331698,1.5,1.5
109,3,2,0,0,0,17.20465053,1.5,1.5
105,3,2,0,0,0,17.80449381,1.5,1.5
94,4,0,0,0,0,15.5241747,1.5,1.5
104,4,0,0,0,0,15.29705854,1.5,1.5
94,4,0,0,0,0,15.13274595,1.5,1.5
105,4,0,0,0,0,15.03329638,1.5,1.5
103,4,0,0,0,0,15,1.5,1.5
